delta,alpha,objective,time,car
151,4.2024155528884855,0.2940003553823077,1980.5597741967374,0 days 00:03:00.094745000,47
152,3.5911321475024134,1.0,9996.05638191726,0 days 00:10:57.826545000,53
153,5.624719592961623,0.2673378180128805,2993.994555678118,0 days 00:02:38.150882000,53
154,7.4646951002798465,1.0,18152.286452879656,0 days 00:10:59.542540000,52
155,4.143471124870037,0.2779556475535517,2122.105374881343,0 days 00:02:37.339068000,52
156,2.127147649383551,1.0,12180.867012244018,0 days 00:11:56.021317000,46
157,5.158096682410498,0.283208079722354,2086.865106051905,0 days 00:03:00.612849000,46
158,3.659003611261733,1.0,6912.609793660548,0 days 00:13:18.721933000,131
159,6.952835998090397,0.26405101172341605,2841.7907652464446,0 days 00:03:23.141052000,131
160,6.290850037093197,1.0,10506.046608774837,0 days 00:13:59.467508000,91
161,6.2090741335331625,0.2747856791318953,2806.429129305332,0 days 00:03:40.186749000,91
162,3.9043732467937295,1.0,14204.705174556784,0 days 00:14:04.070848000,85
163,5.30685681100706,0.31326045934009866,1815.7493829770565,0 days 00:03:45.948385000,85
164,2.3940352324078047,1.0,13294.63676793379,0 days 00:12:21.540146000,125
165,3.801189113952725,0.171603053391339,,0 days 00:03:08.353984000,125
166,5.953781738287081,1.0,10552.311042780135,0 days 00:12:20.918302000,119
167,6.939849795708692,0.2801464100466433,3360.669835548075,0 days 00:03:09.935508000,119
168,5.496499703921566,1.0,,0 days 00:10:58.688279000,9
169,4.0011035088999805,0.3704836578258543,996.7819235321015,0 days 00:02:37.382160000,9
170,5.202342730513102,1.0,14122.00334471069,0 days 00:12:15.357685000,121
171,6.072147802381301,0.3278611091457365,1294.0691606621665,0 days 00:03:09.221075000,121
172,2.0529532206599086,1.0,10296.87198293566,0 days 00:12:14.209187000,81
173,7.601926975796466,0.3135996470247412,2090.7283654085713,0 days 00:03:06.921047000,81
174,7.664828466796812,1.0,9630.377222029309,0 days 00:14:09.177132000,95
175,4.050379196775675,0.17687861649850672,,0 days 00:03:39.637364000,95
176,6.789495662175398,1.0,11500.26264162795,0 days 00:12:19.239244000,135
177,4.8436231638808,0.2862584868697372,1804.7502688747,0 days 00:03:04.178083000,135
178,3.9222854942606937,1.0,,0 days 00:11:01.771800000,109
